header length,16
Area,637500.0 162500.0
Baseline,1981-2000
Data Source,Land probabilistic projections
Data Type,cdf
Return Period,50 years
Scenario,RCP 2.6
Software Version,WPS-2.7.0-DP-2.7.0-CV-1.0.8
Spatial Representation,25km grid
Temporal Average Type,Seasonal
Time Period,June July August
Time Slice Type,1-year time slices
Variable,Maximum air temperature at 1.5m (°C)
Year Maximum,2046
Year Minimum,2016
Maximum air temperature at 1.5m (°C)(0.1 Percentile),Maximum air temperature at 1.5m (°C)(0.25 Percentile),Maximum air temperature at 1.5m (°C)(0.5 Percentile),Maximum air temperature at 1.5m (°C)(0.75 Percentile),Maximum air temperature at 1.5m (°C)(1st Percentile),Maximum air temperature at 1.5m (°C)(1.5 Percentile),Maximum air temperature at 1.5m (°C)(2nd Percentile),Maximum air temperature at 1.5m (°C)(2.5 Percentile),Maximum air temperature at 1.5m (°C)(3rd Percentile),Maximum air temperature at 1.5m (°C)(4th Percentile),Maximum air temperature at 1.5m (°C)(5th Percentile),Maximum air temperature at 1.5m (°C)(6th Percentile),Maximum air temperature at 1.5m (°C)(7th Percentile),Maximum air temperature at 1.5m (°C)(8th Percentile),Maximum air temperature at 1.5m (°C)(9th Percentile),Maximum air temperature at 1.5m (°C)(10th Percentile),Maximum air temperature at 1.5m (°C)(11th Percentile),Maximum air temperature at 1.5m (°C)(12th Percentile),Maximum air temperature at 1.5m (°C)(13th Percentile),Maximum air temperature at 1.5m (°C)(14th Percentile),Maximum air temperature at 1.5m (°C)(15th Percentile),Maximum air temperature at 1.5m (°C)(16th Percentile),Maximum air temperature at 1.5m (°C)(17th Percentile),Maximum air temperature at 1.5m (°C)(18th Percentile),Maximum air temperature at 1.5m (°C)(19th Percentile),Maximum air temperature at 1.5m (°C)(20th Percentile),Maximum air temperature at 1.5m (°C)(21st Percentile),Maximum air temperature at 1.5m (°C)(22nd Percentile),Maximum air temperature at 1.5m (°C)(23rd Percentile),Maximum air temperature at 1.5m (°C)(24th Percentile),Maximum air temperature at 1.5m (°C)(25th Percentile),Maximum air temperature at 1.5m (°C)(26th Percentile),Maximum air temperature at 1.5m (°C)(27th Percentile),Maximum air temperature at 1.5m (°C)(28th Percentile),Maximum air temperature at 1.5m (°C)(29th Percentile),Maximum air temperature at 1.5m (°C)(30th Percentile),Maximum air temperature at 1.5m (°C)(31st Percentile),Maximum air temperature at 1.5m (°C)(32nd Percentile),Maximum air temperature at 1.5m (°C)(33rd Percentile),Maximum air temperature at 1.5m (°C)(34th Percentile),Maximum air temperature at 1.5m (°C)(35th Percentile),Maximum air temperature at 1.5m (°C)(36th Percentile),Maximum air temperature at 1.5m (°C)(37th Percentile),Maximum air temperature at 1.5m (°C)(38th Percentile),Maximum air temperature at 1.5m (°C)(39th Percentile),Maximum air temperature at 1.5m (°C)(40th Percentile),Maximum air temperature at 1.5m (°C)(41st Percentile),Maximum air temperature at 1.5m (°C)(42nd Percentile),Maximum air temperature at 1.5m (°C)(43rd Percentile),Maximum air temperature at 1.5m (°C)(44th Percentile),Maximum air temperature at 1.5m (°C)(45th Percentile),Maximum air temperature at 1.5m (°C)(46th Percentile),Maximum air temperature at 1.5m (°C)(47th Percentile),Maximum air temperature at 1.5m (°C)(48th Percentile),Maximum air temperature at 1.5m (°C)(49th Percentile),Maximum air temperature at 1.5m (°C)(50th Percentile),Maximum air temperature at 1.5m (°C)(51st Percentile),Maximum air temperature at 1.5m (°C)(52nd Percentile),Maximum air temperature at 1.5m (°C)(53rd Percentile),Maximum air temperature at 1.5m (°C)(54th Percentile),Maximum air temperature at 1.5m (°C)(55th Percentile),Maximum air temperature at 1.5m (°C)(56th Percentile),Maximum air temperature at 1.5m (°C)(57th Percentile),Maximum air temperature at 1.5m (°C)(58th Percentile),Maximum air temperature at 1.5m (°C)(59th Percentile),Maximum air temperature at 1.5m (°C)(60th Percentile),Maximum air temperature at 1.5m (°C)(61st Percentile),Maximum air temperature at 1.5m (°C)(62nd Percentile),Maximum air temperature at 1.5m (°C)(63rd Percentile),Maximum air temperature at 1.5m (°C)(64th Percentile),Maximum air temperature at 1.5m (°C)(65th Percentile),Maximum air temperature at 1.5m (°C)(66th Percentile),Maximum air temperature at 1.5m (°C)(67th Percentile),Maximum air temperature at 1.5m (°C)(68th Percentile),Maximum air temperature at 1.5m (°C)(69th Percentile),Maximum air temperature at 1.5m (°C)(70th Percentile),Maximum air temperature at 1.5m (°C)(71st Percentile),Maximum air temperature at 1.5m (°C)(72nd Percentile),Maximum air temperature at 1.5m (°C)(73rd Percentile),Maximum air temperature at 1.5m (°C)(74th Percentile),Maximum air temperature at 1.5m (°C)(75th Percentile),Maximum air temperature at 1.5m (°C)(76th Percentile),Maximum air temperature at 1.5m (°C)(77th Percentile),Maximum air temperature at 1.5m (°C)(78th Percentile),Maximum air temperature at 1.5m (°C)(79th Percentile),Maximum air temperature at 1.5m (°C)(80th Percentile),Maximum air temperature at 1.5m (°C)(81st Percentile),Maximum air temperature at 1.5m (°C)(82nd Percentile),Maximum air temperature at 1.5m (°C)(83rd Percentile),Maximum air temperature at 1.5m (°C)(84th Percentile),Maximum air temperature at 1.5m (°C)(85th Percentile),Maximum air temperature at 1.5m (°C)(86th Percentile),Maximum air temperature at 1.5m (°C)(87th Percentile),Maximum air temperature at 1.5m (°C)(88th Percentile),Maximum air temperature at 1.5m (°C)(89th Percentile),Maximum air temperature at 1.5m (°C)(90th Percentile),Maximum air temperature at 1.5m (°C)(91st Percentile),Maximum air temperature at 1.5m (°C)(92nd Percentile),Maximum air temperature at 1.5m (°C)(93rd Percentile),Maximum air temperature at 1.5m (°C)(94th Percentile),Maximum air temperature at 1.5m (°C)(95th Percentile),Maximum air temperature at 1.5m (°C)(96th Percentile),Maximum air temperature at 1.5m (°C)(97th Percentile),Maximum air temperature at 1.5m (°C)(97.5 Percentile),Maximum air temperature at 1.5m (°C)(98th Percentile),Maximum air temperature at 1.5m (°C)(98.5 Percentile),Maximum air temperature at 1.5m (°C)(99th Percentile),Maximum air temperature at 1.5m (°C)(99.25 Percentile),Maximum air temperature at 1.5m (°C)(99.5 Percentile),Maximum air temperature at 1.5m (°C)(99.75 Percentile),Maximum air temperature at 1.5m (°C)(99.90 Percentile)
2016-07-01,--,--,--,--,--,--,--,--,--,--,33.85355,33.942223,33.995426,34.066364,34.119568,34.17277,34.20824,34.261448,34.296917,34.332386,34.367855,34.403324,34.438793,34.474262,34.491997,34.527466,34.562935,34.58067,34.61614,34.633873,34.669342,34.687077,34.722546,34.74028,34.77575,34.793484,34.81122,34.846687,34.86442,34.89989,34.917625,34.93536,34.97083,34.988564,35.006298,35.041767,35.059505,35.07724,35.11271,35.130444,35.14818,35.183647,35.20138,35.219116,35.254585,35.27232,35.290054,35.325523,35.343258,35.360992,35.39646,35.414196,35.449665,35.4674,35.50287,35.520603,35.556072,35.573807,35.609276,35.62701,35.66248,35.680214,35.715683,35.751152,35.78662,35.804356,35.839825,35.875298,35.910767,35.946236,35.981705,36.017174,36.052643,36.08811,36.12358,36.15905,36.19452,36.22999,36.28319,36.31866,36.371864,36.425068,36.47827,36.531475,36.602413,36.673355,36.762028,36.8507,36.957108,37.063515,37.20539,--,--,--,--,--,--,--,--,--,--
2017-07-01,--,--,--,--,--,--,--,--,--,--,33.841007,33.93242,34.00555,34.0604,34.115246,34.170094,34.206657,34.261505,34.29807,34.334637,34.3712,34.407764,34.444332,34.480896,34.49918,34.535744,34.572308,34.59059,34.627155,34.64544,34.682003,34.700287,34.73685,34.755135,34.7917,34.809982,34.828262,34.86483,34.88311,34.901394,34.937958,34.95624,34.974525,35.01109,35.029373,35.047653,35.084217,35.1025,35.120785,35.15735,35.175632,35.193913,35.23048,35.24876,35.267044,35.303608,35.32189,35.340176,35.37674,35.395023,35.431587,35.449867,35.46815,35.504715,35.523,35.559563,35.577847,35.61441,35.632694,35.66926,35.687542,35.724106,35.760674,35.778954,35.81552,35.852085,35.88865,35.906933,35.943497,35.98006,36.01663,36.053192,36.089756,36.126324,36.162888,36.19945,36.2543,36.290863,36.32743,36.38228,36.418842,36.47369,36.528538,36.60167,36.656513,36.729645,36.821056,36.91247,37.022167,37.150143,37.278122,--,--,--,--,--,--,--,--,--,--
2018-07-01,--,--,--,--,--,--,--,--,--,--,33.84928,33.924477,33.999676,34.056072,34.112473,34.16887,34.225266,34.262867,34.300465,34.338062,34.37566,34.413258,34.45086,34.488457,34.507256,34.544853,34.582455,34.601254,34.63885,34.65765,34.695248,34.714046,34.751648,34.770447,34.789246,34.826843,34.845642,34.86444,34.902042,34.92084,34.95844,34.977238,34.996037,35.033634,35.052437,35.071236,35.090034,35.127632,35.14643,35.16523,35.20283,35.22163,35.24043,35.278027,35.296825,35.315624,35.35322,35.372025,35.390823,35.42842,35.44722,35.484818,35.503616,35.52242,35.560017,35.578815,35.616413,35.635212,35.672813,35.691612,35.72921,35.766808,35.785606,35.823204,35.860806,35.879604,35.917202,35.9548,35.9924,36.03,36.067596,36.105194,36.142796,36.180393,36.21799,36.25559,36.293186,36.330788,36.387184,36.42478,36.481182,36.53758,36.593975,36.650375,36.72557,36.80077,36.875965,36.98876,37.10156,37.21435,37.364746,--,--,--,--,--,--,--,--,--,--
2019-07-01,--,--,--,--,--,--,--,--,--,--,33.838913,33.91614,33.99337,34.051292,34.109215,34.167137,34.22506,34.26367,34.302288,34.3409,34.379517,34.41813,34.456745,34.49536,34.514668,34.55328,34.591896,34.611202,34.64982,34.669125,34.70774,34.727047,34.746353,34.78497,34.804276,34.84289,34.862198,34.881504,34.92012,34.939426,34.958733,34.99735,35.016655,35.03596,35.074577,35.093884,35.11319,35.151806,35.171112,35.190422,35.20973,35.24834,35.26765,35.286957,35.32557,35.34488,35.364185,35.4028,35.422108,35.46072,35.48003,35.499336,35.537952,35.55726,35.59587,35.61518,35.653793,35.673103,35.711716,35.73102,35.769638,35.788944,35.82756,35.866173,35.885483,35.924095,35.96271,36.001324,36.03994,36.059246,36.097862,36.136475,36.17509,36.213703,36.25232,36.31024,36.348854,36.38747,36.426083,36.484005,36.541927,36.580544,36.638462,36.715694,36.773613,36.85084,36.94738,37.043915,37.15976,37.29491,37.449368,--,--,--,--,--,--,--,--,--,--
2020-07-01,--,--,--,--,--,--,--,--,--,--,33.833744,33.913166,33.99259,34.052162,34.111732,34.1713,34.211014,34.27058,34.310295,34.350006,34.38972,34.429432,34.469143,34.489002,34.528713,34.568424,34.588284,34.627995,34.64785,34.687565,34.70742,34.74713,34.76699,34.786846,34.826557,34.846413,34.866272,34.905983,34.92584,34.945698,34.98541,35.005264,35.02512,35.064835,35.08469,35.104546,35.14426,35.164116,35.18397,35.223682,35.24354,35.263397,35.283253,35.322968,35.342823,35.36268,35.40239,35.42225,35.442104,35.481815,35.50167,35.541386,35.56124,35.581097,35.62081,35.640667,35.680378,35.700237,35.73995,35.759804,35.79952,35.83923,35.859085,35.8988,35.93851,35.958366,35.99808,36.037792,36.077507,36.117218,36.156933,36.17679,36.2165,36.27607,36.31578,36.355495,36.395206,36.43492,36.494488,36.534203,36.59377,36.633484,36.69305,36.772476,36.832047,36.931328,37.010754,37.110035,37.22917,37.368168,37.527016,--,--,--,--,--,--,--,--,--,--
2021-07-01,--,--,--,--,--,--,--,--,--,--,33.821327,33.903015,33.984703,34.04597,34.10724,34.168507,34.22977,34.270615,34.311462,34.352306,34.39315,34.433994,34.47484,34.495262,34.536106,34.57695,34.597374,34.638218,34.658638,34.699482,34.719906,34.74033,34.781174,34.801594,34.842438,34.86286,34.883286,34.92413,34.94455,34.964973,35.005817,35.02624,35.04666,35.067085,35.10793,35.12835,35.148773,35.189617,35.21004,35.23046,35.271305,35.29173,35.312153,35.332573,35.373417,35.39384,35.41426,35.45511,35.47553,35.495953,35.536797,35.557217,35.598064,35.618484,35.63891,35.679752,35.700172,35.74102,35.76144,35.802284,35.82271,35.863552,35.904396,35.92482,35.965664,36.006508,36.04735,36.067776,36.10862,36.149464,36.190308,36.23115,36.271996,36.312843,36.353687,36.39453,36.435375,36.496643,36.537487,36.57833,36.6396,36.700863,36.76213,36.8234,36.905087,36.986774,37.088886,37.190998,37.313534,37.45649,37.599445,--,--,--,--,--,--,--,--,--,--
2022-07-01,--,--,--,--,--,--,--,--,--,--,33.810993,33.89485,33.97871,34.041607,34.1045,34.167393,34.230286,34.272217,34.314148,34.356075,34.398006,34.439934,34.481865,34.502827,34.544758,34.565723,34.60765,34.649582,34.670544,34.69151,34.73344,34.754402,34.796333,34.8173,34.838264,34.88019,34.901157,34.922123,34.96405,34.985016,35.00598,35.04791,35.068874,35.08984,35.1108,35.152733,35.1737,35.19466,35.23659,35.257557,35.27852,35.299484,35.341415,35.36238,35.383343,35.425274,35.44624,35.4672,35.509132,35.530098,35.55106,35.59299,35.613956,35.655884,35.67685,35.697815,35.739742,35.760708,35.80264,35.8236,35.865532,35.90746,35.928425,35.970356,36.012283,36.03325,36.075176,36.117107,36.159035,36.200966,36.22193,36.26386,36.30579,36.347717,36.38965,36.45254,36.494473,36.5364,36.57833,36.641224,36.704117,36.746048,36.80894,36.8928,36.955692,37.03955,37.144375,37.2492,37.37499,37.52174,37.689457,--,--,--,--,--,--,--,--,--,--
2023-07-01,--,--,--,--,--,--,--,--,--,--,33.79959,33.90715,33.971687,34.057735,34.10076,34.165295,34.22983,34.272858,34.31588,34.358906,34.401928,34.444954,34.466465,34.50949,34.552513,34.574024,34.61705,34.63856,34.681587,34.7031,34.746124,34.767635,34.810658,34.832172,34.853683,34.896706,34.91822,34.93973,34.982754,35.00427,35.02578,35.04729,35.090317,35.111828,35.13334,35.176365,35.197876,35.219387,35.240902,35.283924,35.305435,35.32695,35.34846,35.391483,35.413,35.43451,35.47753,35.499046,35.520557,35.563583,35.585094,35.606606,35.64963,35.671143,35.714165,35.73568,35.7787,35.800213,35.84324,35.86475,35.907776,35.929287,35.972313,36.015335,36.036846,36.079872,36.122894,36.14441,36.18743,36.230457,36.27348,36.316505,36.359528,36.402554,36.445576,36.4886,36.531624,36.59616,36.639187,36.68221,36.746746,36.811283,36.87582,36.940353,37.0264,37.112453,37.220013,37.32757,37.456646,37.585716,37.757812,--,--,--,--,--,--,--,--,--,--
2024-07-01,--,--,--,--,--,--,--,--,--,--,33.78823,33.8985,33.96466,34.052876,34.119038,34.163143,34.229305,34.273415,34.31752,34.36163,34.405735,34.449844,34.471897,34.516003,34.560112,34.582165,34.626274,34.648327,34.692432,34.71449,34.758595,34.780647,34.802704,34.84681,34.868862,34.89092,34.935024,34.95708,34.979134,35.02324,35.045296,35.06735,35.0894,35.13351,35.155563,35.177616,35.221725,35.24378,35.26583,35.287884,35.331993,35.354046,35.3761,35.398155,35.44226,35.464314,35.48637,35.530476,35.55253,35.574585,35.61869,35.640743,35.6628,35.706905,35.728962,35.773067,35.79512,35.83923,35.861282,35.90539,35.927444,35.97155,35.993607,36.037712,36.08182,36.103874,36.14798,36.19209,36.236195,36.280304,36.32441,36.346466,36.39057,36.43468,36.500843,36.54495,36.589058,36.633163,36.699326,36.74343,36.809593,36.853703,36.91986,37.008076,37.074238,37.162453,37.272724,37.38299,37.515312,37.66969,37.84612,--,--,--,--,--,--,--,--,--,--
2025-07-01,--,--,--,--,--,--,--,--,--,--,33.777157,33.890095,33.957855,34.048203,34.115963,34.161137,34.228897,34.27407,34.319244,34.364418,34.40959,34.454765,34.477352,34.522526,34.5677,34.590286,34.63546,34.658047,34.70322,34.725807,34.770985,34.79357,34.81616,34.861332,34.88392,34.906506,34.95168,34.974266,34.996853,35.01944,35.064613,35.0872,35.109787,35.15496,35.177547,35.200134,35.22272,35.267895,35.29048,35.31307,35.335655,35.38083,35.403416,35.426003,35.44859,35.493763,35.51635,35.538937,35.58411,35.606697,35.629284,35.67446,35.69705,35.74222,35.76481,35.787395,35.83257,35.855156,35.90033,35.922916,35.96809,36.013264,36.03585,36.081024,36.10361,36.148785,36.19396,36.239132,36.26172,36.306892,36.352066,36.39724,36.442413,36.487587,36.53276,36.577938,36.62311,36.690872,36.736046,36.803806,36.84898,36.91674,36.9845,37.05226,37.14261,37.232956,37.34589,37.458824,37.59435,37.752457,37.910564,--,--,--,--,--,--,--,--,--,--
2026-07-01,--,--,--,--,--,--,--,--,--,--,33.78988,33.88231,33.95163,34.04406,34.113384,34.1596,34.228924,34.27514,34.321354,34.36757,34.413784,34.46,34.483105,34.52932,34.575535,34.598644,34.64486,34.667965,34.71418,34.73729,34.760395,34.80661,34.82972,34.852825,34.899044,34.92215,34.94526,34.991474,35.01458,35.03769,35.083904,35.10701,35.13012,35.153225,35.19944,35.22255,35.245655,35.268764,35.31498,35.338085,35.361195,35.3843,35.430515,35.453625,35.47673,35.49984,35.546055,35.56916,35.59227,35.638485,35.661594,35.6847,35.730915,35.754025,35.80024,35.823345,35.86956,35.89267,35.938885,35.96199,36.008205,36.031315,36.07753,36.100636,36.14685,36.193066,36.216175,36.26239,36.308605,36.35482,36.401035,36.44725,36.493465,36.53968,36.585896,36.63211,36.678326,36.72454,36.793865,36.84008,36.9094,36.978725,37.04805,37.11737,37.2098,37.30223,37.39466,37.5102,37.648846,37.8106,37.99546,--,--,--,--,--,--,--,--,--,--
